id_docente,id_materia,puntuacion
2684,8818,
34053,8818,
37832,8818,
3807,8818,
61000,8818,
61128,8818,
73901,8818,
24814,8818,
38877,8818,
67734,8818,
3882,8818,
121542,8818,
42508,8818,
35821,8818,
30711,8818,
110255,8818,
36353,8818,
36420,8818,
31736,8818,
152909,8818,
2340,8818,
2131,8818,
23613,8818,
72299,8818,
3834,8818,
40427,8818,
3823,8818,
37058,8818,
31754,8818,
30646,8818,
120191,8818,
3811,8818,
24142,8818,
28737,8818,
39123,8818,
24495,8818,
111213,8818,
36279,8818,
40493,8818,
29106,8818,
29188,8818,
40043,8818,
35971,8818,
5445,8818,
30656,8818,
140540,8818,
140539,8818,
678,8818,
3842,8818,
140543,8818,
2312,8818,
30723,8818,
3266,8818,
37694,8818,
4771,8818,
28434,8818,
31688,8818,
33131,8818,
38189,8818,
37576,8818,
3294,8818,
38505,8818,
69376,8818,
36930,8818,
5778,8818,
31825,8818,
31825,8819,3
5778,8819,
36930,8819,
38505,8819,
3294,8819,
67734,8819,
37058,8819,
69376,8819,3
3266,8819,2
36420,8819,2
30723,8819,
2312,8819,
140543,8819,3
2684,8819,3
38877,8819,
3823,8819,
31754,8819,3
30656,8819,
31736,8819,3
30646,8819,3
2131,8819,
152909,8819,
35971,8819,
3811,8819,
110255,8819,
30711,8819,
140539,8819,
24814,8819,3
42508,8819,
24142,8819,3
28737,8819,
36279,8819,3
39123,8819,
29106,8819,
35821,8819,3
24495,8819,2
40427,8819,
34053,8819,2
121542,8819,
3834,8819,
3882,8819,
40043,8819,
29188,8819,
140540,8819,
33131,8819,3
678,8819,
72299,8819,
23613,8819,3
5445,8819,
28434,8819,1
36353,8819,3
4771,8819,3
31688,8819,
38189,8819,
37832,8819,
111213,8819,
40493,8819,
120191,8819,
3807,8819,3
61000,8819,3
3842,8819,
2340,8819,
37576,8819,2
37694,8819,
61128,8819,3
73901,8819,
3811,8820,
152909,8820,
36353,8820,
69376,8820,
140539,8820,
110255,8820,
2131,8820,
23613,8820,
72299,8820,
24814,8820,
31736,8820,
36420,8820,
33131,8820,
40043,8820,
29106,8820,
35821,8820,
29188,8820,
2312,8820,
73901,8820,
5445,8820,
38877,8820,
28434,8820,
3882,8820,
140543,8820,
2684,8820,
30646,8820,
31754,8820,
38189,8820,
3834,8820,
40427,8820,
120191,8820,
36279,8820,
30656,8820,
35971,8820,
3823,8820,
140540,8820,
3807,8820,
61128,8820,
61000,8820,
40493,8820,
111213,8820,
678,8820,
3842,8820,
31688,8820,
37694,8820,
28737,8820,
24142,8820,
4771,8820,
121542,8820,
37576,8820,
67734,8820,
24495,8820,
2340,8820,
39123,8820,
37832,8820,
37058,8820,
3266,8820,
30723,8820,
42508,8820,
30711,8820,
34053,8820,
3294,8820,
31825,8820,
36930,8820,
38505,8820,
5778,8820,
38505,8821,
36930,8821,
5778,8821,
3294,8821,
31825,8821,
140540,8821,
120191,8821,
33131,8821,
3842,8821,
678,8821,
3823,8821,
40427,8821,
3834,8821,
72299,8821,
23613,8821,
2131,8821,
36420,8821,
2340,8821,
110255,8821,
30711,8821,
42508,8821,
37576,8821,
121542,8821,
3882,8821,
38877,8821,
69376,8821,
31754,8821,
30646,8821,
40043,8821,
24814,8821,
31688,8821,
4771,8821,
37058,8821,
30723,8821,
36353,8821,
3811,8821,
35971,8821,
30656,8821,
28434,8821,
36279,8821,
140543,8821,
2312,8821,
34053,8821,
61000,8821,
2684,8821,
3807,8821,
61128,8821,
40493,8821,
38189,8821,
73901,8821,
35821,8821,
37832,8821,
111213,8821,
37694,8821,
67734,8821,
24495,8821,
39123,8821,
28737,8821,
24142,8821,
140539,8821,
152909,8821,
5445,8821,
29188,8821,
29106,8821,
3266,8821,
31736,8821,
24142,8822,
24495,8822,
37576,8822,
37694,8822,
3807,8822,
61128,8822,
28737,8822,
31754,8822,
3811,8822,
2340,8822,
3823,8822,
40427,8822,
3834,8822,
72299,8822,
23613,8822,
2131,8822,
110255,8822,
30711,8822,
73901,8822,
42508,8822,
121542,8822,
3882,8822,
38877,8822,
24814,8822,
36420,8822,
140539,8822,
40493,8822,
140540,8822,
5445,8822,
29188,8822,
29106,8822,
120191,8822,
37832,8822,
38189,8822,
31688,8822,
4771,8822,
3842,8822,
37058,8822,
3266,8822,
678,8822,
33131,8822,
30723,8822,
36353,8822,
2312,8822,
31736,8822,
111213,8822,
140543,8822,
2684,8822,
67734,8822,
35971,8822,
152909,8822,
28434,8822,2
30656,8822,
39123,8822,
35821,8822,
30646,8822,
36279,8822,
40043,8822,
34053,8822,
61000,8822,
69376,8822,
5778,8822,
