ESTUDIANTES,P1,P2,P3,PROM,PROM80,EXA,EXA20,QUI,P1,P2,P3,PROM,PROM80,EXA,EXA20,QUI,PROMANIO,grado,aniolec,powtoon
E24,9.25,9.00,9.12,9.12,7.29,8.00,1.60,8.89,9.00,9.00,9.00,9.00,7.20,9.00,1.80,9.00,8.94,4,2021,0
E25,8.00,7.50,7.75,7.75,6.20,7.50,1.50,7.70,7.75,7.50,7.62,7.62,6.09,7.50,1.50,7.59,7.64,4,2021,0
E26,8.00,8.00,8.00,8.00,6.40,7.50,1.50,7.90,7.50,7.50,7.50,7.50,6.00,7.50,1.50,7.50,7.70,4,2021,0
E27,7.75,7.50,7.62,7.62,6.09,7.00,1.40,7.49,7.00,7.00,7.00,7.00,5.60,7.50,1.50,7.10,7.29,4,2021,0
E28,8.50,8.85,8.67,8.67,6.93,8.00,1.60,8.53,8.50,8.50,8.50,8.50,6.80,8.50,1.70,8.50,8.51,4,2021,0
E22,9.63,9.50,9.56,9.56,7.64,10.00,2.00,9.64,9.00,9.50,9.25,9.25,7.40,9.00,1.80,9.20,9.42,5,2021,0
E23,9.88,10.00,9.94,9.94,7.95,10.00,2.00,9.95,9.88,10.00,9.94,9.94,7.95,10.00,2.00,9.95,9.95,5,2021,0
E1,7.75,8.25,8.00,8.00,6.40,7.50,1.50,7.90,7.50,8.00,7.75,7.75,6.20,8.00,1.60,7.80,7.85,5,2021,0
E2,8.75,9.20,8.97,8.97,7.17,8.00,1.60,8.77,9.50,9.50,9.50,9.50,7.60,10.00,2.00,9.60,9.18,5,2021,0
E3,7.00,7.50,7.25,7.25,5.80,7.00,1.40,7.20,7.00,7.00,7.00,7.00,5.60,7.00,1.40,7.00,7.10,5,2021,0
E4,9.25,9.60,9.42,9.42,7.53,9.00,1.80,9.33,9.00,9.00,9.00,9.00,7.20,9.00,1.80,9.00,9.16,5,2021,0
E5,7.00,7.00,7.00,7.00,5.60,7.00,1.40,7.00,7.00,7.00,7.00,7.00,5.60,7.00,1.40,7.00,7.00,5,2021,0
E20,7.75,7.50,7.62,7.62,6.09,7.50,1.50,7.59,7.00,7.00,7.00,7.00,5.60,7.00,1.40,7.00,7.29,5,2021,0
