id,texto
1,analista de sistemas
2,introduccion a la programacion analisis y diseno de sistemas fundamentos de programacion programacion orientada a objetos
3,magister ejecutivo en informatica de gestion y nuevas tecnologias
4, nada
5,analisis y diseno de sistemas introduccion a la programacion administracion de centro de informacion programacion 
6, mantenimiento avanzado de sistemas de informacion pruebas de software gestion de proyectos de investigacion con pmbok electronica y las tics itsup metodologias para la investigacion ciberseguridad enfoques y tecnologias asociadas primer encuentro nacional de software
