id,materia
10214,TECNOLOGIAS DE CONMUTACION Y ENRUTAMIENTO (R2020)
10215,INTERACCION HUMANO-COMPUTADOR  (R2020)
10216,SISTEMAS DIGITALES  (R2020)
10217,DESARROLLO DE APLICACIONES WEB (R2020)
10218,MINERIA DE DATOS (R2020)
10219,ESCALABILIDAD DE REDES (R2020)
10220,INGENIERIA DEL SOFTWARE (R2020)
10221,SISTEMAS EMBEBIDOS (R2020)
10222,GOBIERNO DE TI (R2020)
10223,SEGURIDAD INFORMATICA (R2020)
10224,GESTION DE REDES (R2020)
10225,REDES INALAMBRICAS DE SENSORES (R2020)
10226,INFORMATICA FORENSE (ITINERARIO) (R2020)
10227,APLICACIONES MOVILES (ITINERARIO) (R2020)
10228,TECNOLOGIAS PARA REDES DEL FUTURO (ITINERARIO) (R2020)
10229,COMPUTACION EN LA SOCIEDAD  (R2020)
10230,SISTEMAS DISTRIBUIDOS  (R2020)
10231,EMPRENDIMIENTO E INNOVACION (R2020)
10232,SEMINARIO DE TITULACION (R2020)
10233,SISTEMAS DE GESTION DE SEGURIDAD DE LA INFORMACION (ITINERARIO) (R2020)
10234,APLICACIONES EMPRESARIALES (ITINERARIO) (R2020)
10235,REDES DE TRANSPORTE (ITINERARIO) (R2020)
10236,GESTION DE PROYECTO TI (R2020)
10237,"REALIDAD SOCIOECONOMICA, CULTURAL Y ECOLOGICA DEL ECUADOR  (R2020)"
10238,DESARROLLO DEL TRABAJO DE TITULACION (R2020)
10239,METODOS NUMERICOS
11959,ALGEBRA LINEAL 
11960,FUNDAMENTOS DE PROGRAMACION 
11961,FUNDAMENTOS DE TECNOLOGÍAS DE LA INFORMACIÓN 
11962,CALCULO DE UNA VARIABLE 
11963,COMUNICACIÓN Y LENGUAJE 
11964,MATEMATICA DISCRETA 
11965,PROGRAMACION ORIENTADA A OBJETOS 
11966,SISTEMAS OPERATIVOS 
11967,CALCULO DE VARIAS VARIABLES 
11968,FÍSICA I 
11969,ESTADÍSTICA 
11970,PROCESOS ESTOCÁTICOS 
11971,FUNDAMENTOS DE TELECOMUNICACIONES 
11972,ECUACIONES DIFERENCIALES 
11973,ELECTRICIDAD Y MAGNETISMO 
11974,INTRODUCCIÓN A LA INVESTIGACION CIENTIFICA 
11975,ANÁLISIS DE SEÑALES Y SISTEMAS I 
11976,REDES DE COMPUTADORAS 
11977,ANÁLISIS DE REDES ELÉCTRICAS 
11978,DISPOSITIVOS ELECTRÓNICOS 
11979,MARCO REGULATORIO DE LAS TELECOMUNICACIONES 
11980,ANÁLISIS DE SEÑALES Y SISTEMAS II 
11981,DISEÑO DE REDES CONMUTADAS 
11982,TEORÍA ELECTROMAGNÉTICA 
11983,FUNDAMENTOS DE SISTEMAS DIGITALES 
11984,VINCULACION I
11985,GESTIÓN DE PROYECTOS EN TELECOMUNICACIONES 
11986,SISTEMAS DE TELECOMUNICACIONES 
11987,PROPAGACIÓN 
11988,CIRCUITOS DE ALTA FRECUENCIA Y MICROONDAS 
11989,SISTEMAS DIGITALES  
11990,VINCULACION II
11991,TELECOMUNICACIONES EN LA SOCIEDAD  
11992,SISTEMAS DE COMUNICACIÓNES 
11993,TELEFONÍA DIGITAL 
11994,COMUNICACIÓNES INALÁMBRICAS 
11995,MICROCONTROLADORES 
11996,PRACTICAS PRE PROFESIONALES I
11997,COMUNICACIÓNES SATELITALES (ITINERARIO)
11998,REDES DE NUEVA GENERACIÓN (ITINERARIO)
11999,ANTENAS 
12000,TELEVISIÓN DIGITAL 
12001,REDES INALÁMBRICAS DE SENSORES 
12002,SEMINARIO DE TITULACION 
12003,PRACTICAS PRE PROFESIONALES II
12004,RADIO DEFINIDO POR SOFTWARE (ITINERARIO)
12005,REDES DE TRANSPORTE (ITINERARIO)
12006,FIBRAS ÓPTICAS EN TELECOMUNICACIONES
12007,"REALIDAD SOCIOECONOMICA, CULTURA Y ECOLOGIA DEL ECUADOR "
12008,EMPRENDIMIENTO E INNOVACIÓN
12009,DESARROLLO DEL TRABAJO DE TITULACION 
12010,PRACTICAS PRE PROFESIONALES III
12507,ÁLGEBRA LINEAL
12508,FUNDAMENTOS DE PROGRAMACIÓN
12509,FUNDAMENTOS DE TECNOLOGÍAS DE LA INFORMACIÓN
12510,CÁLCULO DE UNA VARIABLE
12511,COMUNICACIÓN Y LENGUAJE
12512,MATEMÁTICA DISCRETA
12513,PROGRAMACIÓN ORIENTADA A OBJETOS 
12514,FUNDAMENTOS DE INGENIERÍA DEL SOFTWARE
12515,CÁLCULO DE VARIAS VARIABLES 
12516,SISTEMAS OPERATIVOS
12517,ESTADÍSTICA 
12518,ESTRUCTURAS DE DATOS
12519,METODOLOGÍAS DE DESARROLLO DE SOFTWARE
12520,MÉTODOS NUMÉRICOS
12521,ADMINISTRACIÓN DE SISTEMAS OPERATIVOS
12522,REDES DE COMPUTADORAS
12523,DESARROLLO BASADO EN PLATAFORMAS
12524,ARQUITECTURA DE SOFTWARE 
12525,BASES DE DATOS
12526,INTERACCIÓN HUMANO-COMPUTADOR
12527,TÉCNICAS DE SIMULACIÓN
12528,DESARROLLO DE APLICACIONES WEB
12529,ASEGURAMIENTO DE CALIDAD DEL SOFTWARE
12530,ADMINISTRACIÓN DE BASES DE DATOS
12531,INTRODUCCIÓN A LA INVESTIGACIÓN CIENTÍFICA (EMI)
12532,VINCULACIÓN I (PRÁCTICAS DE SERVICIO COMUNITARIO)
12533,LÓGICA DIFUSA
12534,APLICACIONES MÓVILES
12535,CONTROL DE CALIDAD DEL SOFTWARE
12536,MINERÍA DE DATOS
12537,HERRAMIENTAS DE DISEÑO GRÁFICO
12538,VINCULACIÓN II (PRÁCTICAS DE SERVICIO COMUNITARIO)
12539,SISTEMAS INTELIGENTES
12540,SISTEMAS DE JUEGOS
12541,TÉCNICAS AVANZADAS DE DESPLIEGUE
12542,SEGURIDAD INFORMÁTICA
12543,COMPUTACIÓN EN LA SOCIEDAD
12544,TECNOLOGÍAS AVANZADAS EMPRESARIALES EN LA ERA DE LA IA
